Titre,image_url,type,source,episodes,status,aired,rating,score,studio,genre
Last Period: Owarinaki Rasen no Monogatari,https://cdn.myanimelist.net/images/anime/1538/90420.jpg,TV,Game,12,Diffusion en cours,"{'from': '2018-04-12', 'to': None}",PG-13 - Adolescents de 13 ans ou plus,5.99,J.C.Staff,"Action, Adventure, Comedy, Fantasy, Magic"
Mobile Suit Gundam Thunderbolt: December Sky,https://cdn.myanimelist.net/images/anime/2/79823.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2016-06-25', 'to': '2016-06-25'}",R - 17+ (Violence et blasphèmes),7.95,Sunrise,"Action, Military, Sci-Fi, Space, Drama, Mecha"
City Hunter 3,https://cdn.myanimelist.net/images/anime/11/50529.jpg,TV,Manga,13,Diffusion terminé,"{'from': '1989-10-15', 'to': '1990-01-21'}",PG-13 - Adolescents de 13 ans ou plus,7.93,Sunrise,"Action, Comedy, Mystery, Shounen"
Amaama to Inazuma,https://cdn.myanimelist.net/images/anime/6/80546.jpg,TV,Manga,12,Diffusion terminé,"{'from': '2016-07-05', 'to': '2016-09-20'}",PG-13 - Adolescents de 13 ans ou plus,7.57,TMS Entertainment,"Comedy, Seinen, Slice of Life"
Suzumiya Haruhi no Yuuutsu (2009),https://cdn.myanimelist.net/images/anime/8/75377.jpg,TV,Light novel,14,Diffusion terminé,"{'from': '2009-05-22', 'to': '2009-09-11'}",PG-13 - Adolescents de 13 ans ou plus,7.27,Kyoto Animation,"Sci-Fi, Slice of Life, Mystery, Comedy, Parody, Romance, School"
High School DxD BorN: Yomigaeranai Fushichou,https://cdn.myanimelist.net/images/anime/7/77358.jpg,OVA,Light novel,1,Diffusion terminé,"{'from': '2015-12-09', 'to': '2015-12-09'}",R+ - Nudité douce,7.64,TNK,"Action, Ecchi, Comedy, Harem, Romance, Demons, School"
Handsome Girl,https://cdn.myanimelist.net/images/anime/10/34835.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '1992-01-21', 'to': '1992-01-21'}",PG-13 - Adolescents de 13 ans ou plus,5.85,J.C.Staff,"Romance, Shoujo"
"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!",https://cdn.myanimelist.net/images/anime/4/84854.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2010-02-27', 'to': '2010-02-27'}",PG - Enfants,7.35,Sunrise,Comedy
Seikon no Qwaser: Jotei no Shouzou,https://cdn.myanimelist.net/images/anime/9/27178.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '2010-10-20', 'to': '2010-10-20'}",R+ - Nudité douce,6.51,TAKI Corporation,"Action, Super Power, Supernatural, Ecchi, Seinen"
Noramimi,https://cdn.myanimelist.net/images/anime/9/75060.jpg,TV,Manga,12,Diffusion terminé,"{'from': '2008-01-09', 'to': '2008-03-26'}",G - Tout Ages,6.46,TMS Entertainment,Comedy
Gin no Otoko,https://cdn.myanimelist.net/images/anime/4/53723.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '1992-01-10', 'to': '1992-01-10'}",Rx - Hentai,4.13,J.C.Staff,"Hentai, Romance"
